E_LPN_8	scBS_2C_6_1	scBS_2C_6_2	scBS_4C_7_1	scBS_4C_7_2	scBS_4C_7_3	scBS_4C_7_4	scBS_8C_9_1	scBS_8C_9_2	scBS_8C_9_3	scBS_8C_9_4	scBS_8C_9_5	scBS_8C_9_6	scBS_8C_9_7	scBS_8C_9_8
RBMXL3	0.267	0.206	0.111	0.318	0.279	0.036	0.008	0.058	0.25	0.224	0.667	0.091	0.331	0.344	0.163
RBMXL2	0.326	NA	0.372	0.447	0.326	0.043	0.0	0.434	0.687	0.765	0.414	0.0	1.0	0.298	0.188
RHEBL1	0.304	0.345	0.05	0.107	0.096	0.356	0.108	0.221	0.139	0.324	0.269	0.094	0.231	0.25	0.346
LOC731157	0.0	NA	0.0	NA	0.0	NA	0.0	0.0	NA	NA	NA	0.0	NA	0.0	NA
LOC100289495	0.111	0.083	0.09	0.065	0.024	0.075	0.0	0.0	0.294	0.058	0.154	0.056	0.049	0.0	0.053
PVRL3-AS1	0.842	0.857	0.708	0.591	0.682	0.477	0.344	0.765	0.833	0.563	0.818	0.711	0.87	0.75	0.821
PTPRD-AS1	0.0	0.0	0.135	0.0	NA	0.0	0.0	0.136	0.111	0.0	0.154	0.026	NA	0.115	0.038
PTPRD-AS2	0.033	0.0	0.231	0.269	0.083	0.0	0.0	0.1	0.0	0.4	0.0	0.0	0.0	0.571	0.242
PNOC	0.209	0.178	0.22	0.088	0.044	0.073	0.132	0.295	0.227	0.323	0.389	0.25	0.225	0.237	0.237
CNTF	0.714	NA	1.0	0.5	NA	0.2	0.5	1.0	0.846	1.0	NA	0.667	0.0	0.857	0.75
PDIA5	0.658	0.436	0.546	0.373	0.404	0.298	0.266	0.563	0.496	0.62	0.75	0.585	0.516	0.388	0.5
SNORD114-31	NA	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SNORD114-30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC100129216	NA	0.0	1.0	0.0	NA	0.0	0.0	0.5	0.333	0.2	1.0	0.8	0.6	0.833	0.75
PNP	0.282	0.2	0.191	0.077	0.143	0.209	0.142	0.13	0.083	0.274	0.441	0.207	0.295	0.281	0.144
SMKR1	0.291	1.0	0.227	0.084	0.025	0.1	0.045	0.172	0.196	0.133	0.478	0.216	0.252	0.393	0.3
PNN	0.033	0.208	0.155	0.077	0.389	0.0	0.03	0.0	0.154	0.08	0.313	0.208	0.266	0.3	0.108
HAMP	0.227	0.15	0.286	0.0	0.0	0.0	0.35	0.0	0.0	0.0	0.0	0.403	0.167	0.071	0.0
ADCY10P1	0.714	0.735	0.405	0.229	0.284	0.372	0.276	0.931	0.905	0.603	0.6	0.519	0.742	0.385	0.493
MR1	0.137	0.194	0.19	0.049	0.056	0.053	0.128	0.245	0.355	0.286	0.541	0.12	0.217	0.199	0.408
CNPY4	0.456	0.154	0.345	0.182	0.0	0.515	0.198	0.256	0.07	0.48	0.545	0.213	0.318	0.286	0.525
CNPY3	0.482	0.364	0.41	0.09	0.254	0.113	0.115	0.423	0.271	0.316	0.214	0.537	0.219	0.309	0.257
CNPY2	0.153	0.346	0.194	0.044	0.078	0.065	0.141	0.327	0.292	0.245	0.356	0.188	0.211	0.221	0.449
CNPY1	0.713	0.346	0.42	0.365	0.167	0.195	0.405	0.387	0.427	0.564	0.814	0.545	0.433	0.5	0.611
COPG2	0.686	0.567	0.631	0.329	0.436	0.351	0.452	0.637	0.718	0.633	0.643	0.492	0.596	0.534	0.69
LOC101929690	0.095	0.0	0.25	0.043	0.045	0.0	0.029	0.231	0.0	0.079	0.706	0.0	0.091	0.097	0.26
LINC00441	0.214	0.056	0.227	0.1	0.0	0.0	0.222	0.1	0.083	0.152	0.929	0.029	0.306	0.217	1.0
SHOX2	0.079	0.038	0.018	0.018	0.0	0.056	0.0	0.015	0.021	0.012	0.011	0.027	0.057	0.016	0.0
CHFR	0.677	0.667	0.515	0.411	0.443	0.362	0.293	0.591	0.451	0.68	0.789	0.645	0.647	0.718	0.586
HTR2A-AS1	0.3	0.333	0.786	0.0	0.2	0.0	0.083	0.222	0.0	1.0	0.667	1.0	0.714	0.167	0.0
SYPL1	0.149	0.076	0.113	0.06	0.093	0.031	0.088	0.091	0.009	0.132	0.875	0.17	0.099	0.092	0.06
TIGD1	0.75	0.0	0.095	0.069	0.0	0.0	0.5	0.25	0.364	0.0	NA	0.276	0.405	0.0	0.25
NUDT9P1	NA	NA	NA	NA	0.0	0.0	NA	NA	NA	NA	NA	0.0	0.583	NA	NA
SYPL2	0.284	0.425	0.244	0.141	0.032	0.186	0.141	0.28	0.443	0.299	0.75	0.615	0.26	0.246	0.232
RFX8	0.116	0.244	0.232	0.098	0.073	0.107	0.059	0.4	0.201	0.409	0.465	0.33	0.172	0.168	0.112
RFX4	0.276	0.451	0.389	0.162	0.189	0.076	0.168	0.295	0.299	0.456	0.535	0.29	0.371	0.41	0.419
RFX5	0.412	0.75	0.237	0.037	0.0	0.125	0.23	0.267	0.659	0.633	0.647	0.36	0.3	0.34	0.189
RFX6	0.224	0.286	0.333	0.038	0.111	0.174	0.354	0.316	0.5	0.773	0.66	0.537	0.49	0.75	0.404
RFX7	0.589	0.476	0.485	0.445	0.412	0.216	0.448	0.555	0.571	0.707	0.844	0.672	0.697	0.639	0.671
TIGD3	0.012	0.0	0.036	0.012	0.0	0.006	0.044	0.005	0.011	0.021	0.0	0.025	0.008	0.028	0.011
RFX2	0.348	0.389	0.343	0.128	0.133	0.162	0.204	0.227	0.233	0.302	0.238	0.459	0.438	0.286	0.296
RFX3	0.705	0.696	0.746	0.539	0.388	0.355	0.405	0.724	0.585	0.693	0.735	0.656	0.866	0.602	0.837
YDJC	0.006	0.0	0.0	0.0	0.0	0.025	0.0	0.006	0.007	0.0	0.0	0.0	0.0	0.017	0.026
IBA57	0.5	0.329	0.362	0.331	0.109	0.237	0.315	0.202	0.435	0.365	0.233	0.288	0.268	0.243	0.184
APC	0.562	0.741	0.467	0.113	0.329	0.194	0.42	0.48	0.428	0.648	0.693	0.5	0.471	0.611	0.561
TMEM179B	0.119	0.0	0.02	0.058	0.075	0.021	0.017	0.012	0.0	0.0	0.0	0.037	0.0	0.024	0.093
KERA	NA	0.5	0.75	0.0	NA	0.5	NA	0.0	0.0	1.0	1.0	NA	0.667	0.667	0.5
ADNP	0.453	0.361	0.276	0.251	0.434	0.185	0.25	0.481	0.423	0.456	0.5	0.471	0.382	0.434	0.352
ZNF57	0.537	0.45	0.333	0.13	0.25	0.229	0.194	0.331	0.216	0.438	0.478	0.458	0.475	0.313	0.508
KIZ-AS1	0.67	0.5	0.452	0.318	0.389	0.455	0.435	0.269	0.884	0.711	0.889	0.778	0.438	1.0	0.96
LMO7-AS1	0.345	0.305	0.331	0.333	0.158	0.198	0.052	0.469	0.581	0.369	0.348	0.6	0.339	0.308	0.405
TARS2	0.637	0.686	0.542	0.383	0.386	0.376	0.324	0.564	0.641	0.566	0.474	0.459	0.379	0.456	0.409
OSR1	0.219	0.327	0.347	0.033	0.027	0.177	0.029	0.124	0.165	0.042	0.0	0.186	0.12	0.048	0.283
IGFBP2	0.452	0.274	0.308	0.225	0.192	0.201	0.149	0.614	0.308	0.298	0.263	0.615	0.284	0.301	0.394
IGFBP3	0.202	0.667	0.175	0.026	0.152	0.153	0.049	0.118	0.235	0.266	0.267	0.177	0.13	0.156	0.343
IGFBP1	0.062	0.051	0.045	0.054	0.037	0.07	0.171	0.227	0.091	0.145	0.133	0.108	0.115	0.058	0.03
HBE1	1.0	NA	NA	1.0	NA	NA	0.0	0.667	0.5	1.0	1.0	0.8	1.0	1.0	1.0
IGFBP7	0.099	0.084	0.198	0.1	0.038	0.096	0.04	0.106	0.296	0.279	0.295	0.116	0.313	0.156	0.381
IGFBP4	0.043	0.061	0.145	0.026	0.0	0.079	0.0	0.028	0.023	0.032	0.036	0.047	0.1	0.045	0.119
IGFBP5	0.29	0.202	0.276	0.11	0.106	0.139	0.077	0.363	0.305	0.254	0.165	0.266	0.191	0.166	0.337
CYP2R1	0.121	0.017	0.031	0.038	0.089	0.117	0.064	0.093	0.038	0.042	0.026	0.023	0.038	0.048	0.05
CKLF	0.442	0.158	0.333	0.103	0.018	0.455	0.186	0.375	0.394	0.339	0.947	0.246	0.239	0.25	0.218
PMS2P9	1.0	0.429	0.5	0.72	0.4	0.391	0.833	0.667	0.607	0.6	0.889	0.761	0.726	0.767	0.786
APLNR	0.024	0.05	0.167	0.179	0.0	0.143	0.021	0.0	0.0	0.0	0.0	0.37	0.083	0.484	0.2
CYP8B1	0.067	0.182	0.25	0.194	0.375	0.033	0.0	0.268	0.333	0.455	0.6	0.296	0.026	0.023	0.313
PMS2P3	0.217	0.45	0.123	0.059	0.023	0.12	0.071	0.263	0.157	0.366	0.388	0.169	0.112	0.246	0.552
PMS2P4	0.742	0.889	0.608	0.244	0.417	0.287	0.348	0.567	0.38	0.567	0.546	0.674	0.459	0.654	0.516
PMS2P5	0.527	0.324	0.384	0.245	0.394	0.164	0.268	0.508	0.329	0.44	0.424	0.413	0.412	0.536	0.403
LOC100287792	0.2	0.083	0.447	0.185	0.0	0.0	0.048	0.0	0.0	0.25	0.4	0.439	0.083	0.188	0.176
TXNIP	0.25	NA	0.0	0.0	NA	0.0	0.35	0.417	0.778	0.571	0.0	0.167	0.091	0.417	0.063
MIR6874	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RASAL2-AS1	0.038	0.125	0.037	0.058	0.0	0.0	0.0	0.0	NA	0.0	0.0	0.033	0.0	0.031	0.0
MIR6876	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MIR6877	1.0	NA	NA	0.0	NA	NA	0.5	0.5	NA	1.0	NA	0.0	0.5	0.0	NA
MIR6870	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FAM157A	0.345	0.781	0.479	0.384	0.531	0.5	0.438	0.574	0.457	0.517	0.554	0.372	0.529	0.443	0.674
MIR6872	NA	0.0	0.0	0.0	NA	0.0	NA	0.0	0.1	0.0	0.0	0.2	0.0	0.0	0.0
MIR6873	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MECOM	0.424	0.703	0.563	0.171	0.247	0.108	0.138	0.468	0.409	0.415	0.454	0.404	0.414	0.311	0.458
MIR6878	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MIR6879	0.5	NA	0.0	1.0	NA	NA	NA	1.0	NA	NA	NA	1.0	0.5	1.0	0.0
IPO9-AS1	0.119	0.282	0.206	0.081	0.162	0.066	0.137	0.166	0.323	0.329	0.328	0.2	0.204	0.147	0.204
CLIC6	0.12	0.07	0.098	0.062	0.042	0.066	0.014	0.169	0.244	0.264	0.223	0.145	0.077	0.091	0.109
CLIC4	0.48	0.564	0.352	0.269	0.373	0.299	0.428	0.365	0.516	0.487	0.332	0.488	0.417	0.307	0.35
CLIC5	0.155	0.222	0.247	0.075	0.187	0.172	0.148	0.471	0.322	0.346	0.312	0.361	0.36	0.198	0.364
CLIC2	0.381	0.5	0.328	0.167	0.385	0.384	0.316	0.558	0.53	0.475	0.513	0.537	0.545	0.452	0.333
CLIC3	0.041	0.018	0.052	0.017	0.017	0.016	0.0	0.022	0.011	0.014	0.016	0.043	0.0	0.004	0.0
CLIC1	0.037	0.146	0.113	0.021	0.0	0.069	0.059	0.415	0.061	0.194	0.0	0.189	0.242	0.015	0.179
KIAA0020	0.427	0.611	0.401	0.277	0.212	0.131	0.227	0.489	0.583	0.506	0.604	0.532	0.487	0.442	0.49
HOXD-AS2	0.055	NA	0.0	0.0	0.0	0.0	0.083	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.064
LOC574538	0.06	0.021	0.041	0.007	0.023	0.003	0.083	0.003	0.0	0.076	0.338	0.016	0.082	0.121	0.074
RRS1-AS1	0.207	0.889	0.222	0.087	0.083	0.667	0.238	0.5	0.417	0.833	0.438	0.17	0.217	0.315	0.222
SOWAHA	0.019	0.01	0.016	0.0	0.007	0.005	0.0	0.008	0.018	0.047	0.101	0.0	0.015	0.003	0.005
SOWAHB	0.07	0.037	0.03	0.0	0.024	0.006	0.013	0.01	0.033	0.082	0.0	0.031	0.039	0.02	0.0
SOWAHC	0.009	0.018	0.017	0.0	0.005	0.0	0.0	0.007	0.026	0.0	0.0	0.013	0.007	0.0	0.019
SOWAHD	0.042	0.028	0.02	0.0	0.027	0.018	0.0	0.0	0.013	0.017	0.0	0.011	0.005	0.0	0.0
PKD1P1	0.551	0.0	0.537	0.398	0.308	0.2	0.211	0.736	0.632	1.0	0.95	0.871	0.798	0.845	0.917
PKD1P6	0.898	0.733	0.837	0.513	0.332	0.29	0.285	0.846	0.798	0.886	0.959	0.861	0.838	0.892	0.896
TSNAX-DISC1	0.504	0.601	0.55	0.312	0.341	0.306	0.41	0.495	0.641	0.681	0.679	0.569	0.541	0.424	0.597
ZNF7	0.645	0.315	0.514	0.171	0.192	0.198	0.204	0.299	0.494	0.534	0.509	0.28	0.351	0.558	0.316
ZNF2	0.602	0.353	0.5	0.327	0.111	0.041	0.14	0.512	0.548	0.45	0.673	0.497	0.191	0.322	0.342
ZNF3	0.48	0.234	0.306	0.237	0.127	0.163	0.279	0.648	0.398	0.409	0.433	0.271	0.385	0.648	0.418
TIPIN	0.723	0.529	0.536	0.283	0.259	0.625	0.29	0.328	0.372	0.475	0.529	0.459	0.733	0.395	0.351
ZNF8	0.571	0.75	0.42	0.116	0.203	0.295	0.199	0.147	0.384	0.405	0.31	0.413	0.423	0.42	0.319
CDC5L	0.733	0.417	0.565	0.378	0.19	0.507	0.329	0.517	0.585	0.774	0.66	0.653	0.445	0.5	0.58
SBDS	0.417	0.656	0.235	0.089	0.054	0.087	0.526	0.336	0.424	0.481	0.291	0.175	0.392	0.152	0.889
FIGNL2	0.049	0.036	0.024	0.01	0.026	0.005	0.009	0.027	0.033	0.053	0.081	0.04	0.02	0.148	0.089
MRPS18A	0.595	0.444	0.508	0.084	0.368	0.075	0.167	0.701	0.188	0.417	0.43	0.62	0.665	0.309	0.108
AP2A1	0.576	0.343	0.486	0.31	0.31	0.427	0.45	0.389	0.493	0.363	0.332	0.594	0.549	0.438	0.409
AP2A2	0.785	0.628	0.597	0.469	0.246	0.293	0.288	0.521	0.518	0.623	0.768	0.507	0.546	0.747	0.747
NIM1K	0.174	0.361	0.212	0.178	0.151	0.044	0.056	0.166	0.131	0.216	0.319	0.214	0.15	0.262	0.308
CLC	0.115	0.333	0.588	0.0	0.071	0.0	0.344	0.429	0.674	0.275	0.5	0.63	0.733	0.143	0.438
NSUN3	0.82	0.719	0.684	0.585	0.375	0.5	0.473	0.7	0.696	0.779	0.703	0.865	0.607	0.571	0.925
NSUN2	0.535	0.164	0.274	0.119	0.363	0.324	0.431	0.221	0.338	0.508	0.796	0.361	0.532	0.712	0.46
NSUN5	0.456	0.152	0.217	0.036	0.015	0.071	0.213	0.103	0.16	0.306	0.425	0.202	0.296	0.25	0.368
NSUN4	0.401	0.447	0.366	0.276	0.189	0.126	0.353	0.609	0.431	0.441	0.391	0.511	0.446	0.238	0.422
NSUN7	0.448	0.253	0.54	0.392	0.112	0.301	0.153	0.367	0.521	0.429	0.434	0.381	0.413	0.451	0.441
NSUN6	0.809	0.541	0.695	0.569	0.719	0.433	0.301	0.734	0.851	0.697	0.713	0.817	0.688	0.656	0.765
LOC101927701	0.851	0.615	0.725	0.466	0.444	0.609	0.404	0.87	0.629	0.87	0.833	0.817	0.619	0.581	0.662
LOC101927709	0.167	NA	0.333	0.0	NA	0.0	NA	0.0	NA	1.0	1.0	NA	0.6	0.0	0.625
PAGR1	0.155	0.032	0.06	0.14	0.037	0.007	0.012	0.014	0.022	0.061	0.048	0.029	0.009	0.114	0.06
KIR2DS5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RRP7A	0.617	0.229	0.309	0.171	0.058	0.139	0.101	0.448	0.362	0.293	0.248	0.341	0.537	0.566	0.476
CDR2L	0.056	0.086	0.051	0.038	0.005	0.027	0.013	0.019	0.024	0.119	0.279	0.024	0.153	0.087	0.08
MIR548AJ2	0.844	0.82	0.733	0.513	0.424	0.484	0.404	0.83	0.838	0.864	0.891	0.803	0.848	0.796	0.854
BRDT	0.652	0.774	0.595	0.418	0.365	0.387	0.417	0.637	0.574	0.604	0.663	0.541	0.495	0.48	0.381
LOC102724596	0.222	0.611	0.282	0.137	0.039	0.036	0.123	0.172	0.231	0.258	0.433	0.2	0.233	0.128	0.136
BRD8	0.714	0.537	0.628	0.058	0.477	0.484	0.492	0.852	0.639	0.543	0.523	0.657	0.748	0.723	0.586
BRD9	0.474	0.409	0.576	0.128	0.275	0.308	0.475	0.407	0.45	0.603	0.601	0.5	0.684	0.591	0.593
BRD4	0.711	0.466	0.665	0.28	0.263	0.387	0.298	0.457	0.418	0.519	0.59	0.648	0.637	0.401	0.244
BRD7	0.425	0.609	0.389	0.365	0.291	0.196	0.375	0.225	0.338	0.598	0.642	0.42	0.404	0.416	0.778
BRD1	0.768	0.589	0.523	0.238	0.225	0.336	0.38	0.391	0.45	0.634	0.423	0.608	0.563	0.622	0.504
BRD2	0.109	0.096	0.134	0.022	0.017	0.036	0.037	0.237	0.081	0.222	0.28	0.091	0.09	0.115	0.072
BRD3	0.579	0.371	0.451	0.269	0.273	0.228	0.345	0.631	0.422	0.408	0.401	0.593	0.326	0.273	0.24
LOC643387	0.016	0.0	0.0	0.033	0.0	0.0	0.0	0.0	0.0	0.053	0.0	0.075	0.0	0.0	0.0
CH25H	0.014	0.0	0.0	0.0	0.0	0.0	0.0	0.042	NA	0.0	0.038	0.013	0.0	0.0	0.0
CSF2RB	0.141	0.16	0.16	0.017	0.031	0.083	0.099	0.047	0.043	0.19	0.126	0.152	0.111	0.185	0.042
CSF2RA	0.833	1.0	1.0	0.879	1.0	0.875	0.25	0.875	0.571	0.957	1.0	0.778	0.778	1.0	0.846
DMD	0.662	0.598	0.549	0.39	0.383	0.337	0.275	0.715	0.742	0.669	0.703	0.621	0.666	0.648	0.686
SEH1L	0.314	0.545	0.314	0.278	0.267	0.315	0.162	0.336	0.375	0.5	0.497	0.383	0.424	0.246	0.304
LOC102724623	0.51	0.541	0.52	0.267	0.266	0.394	0.41	0.539	0.56	0.622	0.671	0.569	0.618	0.742	0.6
GAB4	0.682	0.432	0.25	0.227	0.348	0.376	0.266	0.527	0.445	0.551	0.504	0.607	0.527	0.657	0.593
STX16-NPEPL1	0.565	0.358	0.382	0.254	0.182	0.222	0.272	0.361	0.452	0.455	0.266	0.457	0.38	0.482	0.354
GAB2	0.683	0.416	0.667	0.398	0.286	0.359	0.257	0.556	0.593	0.723	0.567	0.619	0.634	0.694	0.695
GAB3	0.528	0.683	0.438	0.069	0.123	0.156	0.207	0.367	0.41	0.47	0.49	0.586	0.441	0.49	0.475
LOC100506844	0.5	0.0	0.077	0.192	0.091	0.033	0.0	0.8	0.75	1.0	0.0	0.333	0.444	0.19	1.0
GAB1	0.558	0.308	0.547	0.254	0.239	0.32	0.184	0.438	0.521	0.548	0.504	0.472	0.631	0.399	0.455
ZSCAN9	0.4	1.0	0.438	0.526	1.0	0.143	0.0	0.586	0.5	0.923	1.0	0.939	0.313	0.314	0.433
ZSCAN4	0.32	0.438	0.207	0.017	0.0	0.1	0.04	0.167	0.16	0.316	0.27	0.406	0.3	0.024	0.279
ZSCAN1	0.067	0.103	0.124	0.007	0.019	0.039	0.069	0.061	0.168	0.123	0.176	0.162	0.159	0.081	0.17
ZSCAN2	0.543	0.393	0.465	0.208	0.295	0.207	0.163	0.417	0.297	0.358	0.301	0.275	0.448	0.435	0.614
FAM230B	0.285	0.0	0.013	0.032	0.077	0.013	0.0	0.051	0.035	0.083	0.025	0.043	0.043	0.06	0.01
GLIS3-AS1	0.5	NA	0.778	0.0	0.0	0.714	NA	NA	NA	0.857	NA	1.0	1.0	0.882	0.8
DNAJB13	0.353	0.594	0.362	0.162	0.114	0.171	0.004	0.333	0.223	0.371	0.27	0.294	0.221	0.389	0.327
DNAJB12	0.632	0.321	0.395	0.402	0.147	0.21	0.296	0.386	0.602	0.394	0.313	0.628	0.411	0.424	0.394
VIL1	0.633	0.586	0.607	0.334	0.293	0.32	0.336	0.619	0.594	0.251	0.316	0.483	0.406	0.495	0.382
DNAJB14	0.537	0.143	0.738	0.253	0.2	0.203	0.107	0.164	0.375	0.541	0.571	0.384	0.443	0.359	0.808
FAM230C	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SUPT20H	0.566	0.829	0.325	0.302	0.129	0.216	0.163	0.345	0.863	0.697	0.903	0.541	0.5	0.429	0.75
VILL	0.338	0.26	0.465	0.22	0.134	0.121	0.171	0.623	0.75	0.381	0.297	0.393	0.126	0.462	0.5
EFTUD1P1	0.263	0.444	0.331	0.348	0.352	0.173	0.257	0.336	0.43	0.667	0.506	0.379	0.399	0.46	0.672
KRTAP24-1	0.333	1.0	0.0	0.125	0.0	NA	NA	0.2	0.0	1.0	1.0	0.2	0.5	0.2	NA
PSD	0.396	0.158	0.322	0.191	0.08	0.177	0.07	0.185	0.265	0.163	0.179	0.141	0.14	0.313	0.271
OR8U8	NA	NA	0.0	NA	NA	NA	0.0	1.0	1.0	0.0	0.0	0.0	NA	0.0	NA
OR8U1	NA	NA	0.0	NA	NA	NA	0.0	1.0	1.0	0.0	0.0	0.0	NA	0.0	NA
ARHGAP5-AS1	0.029	NA	0.0	0.0	NA	0.0	0.0	0.0	NA	0.0	0.0	0.0	0.013	0.015	0.0
AMOTL2	0.081	0.126	0.094	0.026	0.032	0.025	0.035	0.221	0.144	0.259	0.262	0.068	0.032	0.007	0.109
LOC100190940	0.063	0.043	0.08	0.218	0.05	0.095	0.098	0.417	0.214	0.256	0.7	0.329	0.282	0.29	0.086
ZNRF3-AS1	0.611	0.833	0.774	0.38	0.148	0.239	0.3	0.391	0.111	0.571	0.206	0.432	0.676	0.274	0.816
ZNF674-AS1	0.295	0.0	0.174	0.075	0.0	0.263	0.0	0.154	0.611	0.261	NA	0.0	0.179	0.0	0.333
KRTAP19-2	NA	NA	1.0	NA	NA	NA	NA	0.0	0.75	1.0	1.0	NA	NA	NA	0.5
KRTAP19-3	NA	0.4	NA	NA	0.667	NA	NA	NA	NA	NA	0.0	0.5	NA	0.4	NA
PPIAL4C	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PPIAL4B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PPIAL4E	NA	NA	NA	NA	NA	NA	0.5	NA	NA	NA	NA	NA	NA	NA	NA
PPIAL4D	NA	NA	NA	NA	NA	NA	0.5	NA	NA	NA	NA	NA	NA	NA	NA
PPIAL4G	0.0	0.0	0.875	0.2	NA	0.0	0.75	0.0	0.375	0.25	NA	0.4	0.75	0.0	NA
PPIAL4F	NA	NA	NA	NA	NA	NA	0.5	NA	NA	NA	NA	NA	NA	NA	NA
KRTAP19-8	NA	NA	NA	NA	NA	NA	NA	0.75	1.0	NA	NA	NA	NA	NA	1.0
ATAT1	0.67	0.351	0.57	0.292	0.169	0.353	0.18	0.667	0.5	0.592	0.54	0.699	0.375	0.357	0.628
FAM214A	0.665	0.712	0.58	0.29	0.325	0.204	0.316	0.728	0.526	0.657	0.623	0.463	0.73	0.567	0.663
FAM214B	0.324	0.105	0.228	0.148	0.098	0.227	0.151	0.226	0.417	0.191	0.246	0.178	0.37	0.455	0.181
TTTY23B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CFAP36	0.591	0.75	0.641	0.329	0.2	0.721	0.234	0.594	0.678	0.635	0.625	0.58	0.603	0.476	0.475
AKIRIN2	0.305	0.26	0.33	0.221	0.152	0.157	0.229	0.457	0.468	0.466	0.419	0.439	0.343	0.33	0.357
AKIRIN1	0.383	0.738	0.671	0.266	0.147	0.04	0.12	0.239	0.342	0.577	0.361	0.212	0.318	0.309	0.161
MIR181B2	NA	NA	0.0	0.25	NA	0.5	1.0	1.0	1.0	1.0	NA	1.0	0.0	NA	1.0
EREG	0.081	0.455	0.167	0.138	0.205	0.08	0.105	0.4	0.188	0.07	0.025	0.241	0.128	0.0	0.154
MIR181B1	1.0	NA	NA	0.0	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA
AVPI1	0.423	0.235	0.266	0.34	0.217	0.328	0.0	0.451	0.615	0.242	0.324	0.191	0.092	0.055	0.402
ASAP1	0.66	0.484	0.548	0.335	0.283	0.367	0.47	0.664	0.707	0.659	0.838	0.555	0.65	0.713	0.615
ASAP2	0.726	0.586	0.528	0.435	0.28	0.431	0.364	0.456	0.625	0.485	0.324	0.729	0.655	0.49	0.714
ASAP3	0.511	0.403	0.371	0.225	0.284	0.214	0.309	0.352	0.521	0.391	0.349	0.4	0.303	0.355	0.205
OCRL	0.431	0.548	0.606	0.302	0.254	0.371	0.284	0.377	0.897	0.505	0.574	0.484	0.465	0.686	0.51
HILPDA	0.341	NA	0.035	0.011	0.014	0.5	0.147	0.077	0.021	0.068	0.093	0.108	0.075	0.188	0.196
LOC101928937	0.69	0.5	0.75	0.875	0.714	0.375	0.714	0.929	0.75	0.588	0.833	0.7	0.923	0.806	1.0
LOC101928936	0.414	0.538	0.587	0.214	0.125	0.267	0.538	0.66	0.583	0.792	0.722	0.464	0.6	0.484	0.489
KIAA1033	0.302	0.277	0.448	0.314	0.321	0.281	0.217	0.51	0.378	0.516	0.523	0.652	0.483	0.56	0.464
BANCR	0.857	0.692	0.636	0.3	0.667	0.125	0.231	0.789	0.833	0.947	0.9	1.0	0.778	0.929	1.0
SNORD45A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C14orf132	0.145	0.253	0.103	0.028	0.031	0.028	0.087	0.096	0.073	0.121	0.325	0.118	0.219	0.101	0.197
GNG12-AS1	0.469	0.417	0.429	0.135	0.185	0.164	0.251	0.537	0.527	0.633	0.46	0.499	0.598	0.473	0.587
CALCRL	0.25	0.4	0.492	0.133	0.053	0.37	0.143	0.25	0.481	0.5	0.438	0.364	0.393	0.355	0.365
TMEM72-AS1	0.122	0.298	0.168	0.121	0.025	0.152	0.049	0.254	0.377	0.343	0.231	0.221	0.124	0.117	0.139
ANKLE1	0.147	0.388	0.294	0.072	0.055	0.126	0.094	0.23	0.205	0.224	0.104	0.239	0.258	0.184	0.234
CSNK1G2	0.458	0.38	0.411	0.261	0.271	0.323	0.303	0.386	0.381	0.48	0.385	0.714	0.652	0.573	0.404
ANKLE2	0.582	0.328	0.514	0.389	0.34	0.37	0.256	0.428	0.422	0.516	0.584	0.456	0.618	0.665	0.642
RHPN1	0.402	0.267	0.271	0.034	0.116	0.172	0.131	0.242	0.147	0.404	0.561	0.29	0.288	0.439	0.227
OLR1	0.0	0.05	0.125	0.0	0.2	0.059	0.222	0.48	0.385	0.172	0.056	0.385	0.206	0.9	0.321
SERPINB8	0.214	0.357	0.214	0.121	0.0	0.615	0.216	0.284	0.225	0.194	0.323	0.426	0.316	0.319	0.203
SRRM1	0.402	1.0	0.333	0.209	0.26	0.103	0.184	0.294	0.393	0.418	0.479	0.235	0.27	0.303	0.167
SRRM3	0.092	0.095	0.122	0.016	0.026	0.066	0.067	0.04	0.027	0.084	0.222	0.034	0.098	0.215	0.237
SRRM2	0.482	0.408	0.582	0.428	0.281	0.418	0.32	0.35	0.574	0.571	0.473	0.427	0.476	0.699	0.435
